source,type,target,weight
1,undirected,858,1
1,undirected,1334,1
1,undirected,1728,1
3,undirected,1609,1
3,undirected,5362,1
3,undirected,5431,1
4,undirected,5133,1
5,undirected,1217,1
5,undirected,1350,1
5,undirected,3207,2
5,undirected,3731,1
5,undirected,4413,1
6,undirected,173,1
6,undirected,496,1
6,undirected,1579,1
6,undirected,5431,1
7,undirected,1427,1
7,undirected,2389,1
7,undirected,4303,1
7,undirected,4930,1
7,undirected,5492,1
9,undirected,2058,2
9,undirected,4380,2
9,undirected,4502,2
10,undirected,2068,1
10,undirected,5431,1
11,undirected,52,1
11,undirected,170,1
11,undirected,3228,1
11,undirected,5431,1
12,undirected,1124,1
12,undirected,2123,1
12,undirected,4799,1
13,undirected,1175,1
13,undirected,2501,1
13,undirected,4262,1
13,undirected,5363,1
13,undirected,5431,1
14,undirected,695,1
14,undirected,2439,1
14,undirected,5488,1
15,undirected,1968,1
15,undirected,2437,1
15,undirected,2842,1
15,undirected,3209,1
15,undirected,4227,1
15,undirected,4925,1
16,undirected,1148,1
16,undirected,1816,1
16,undirected,3974,1
18,undirected,4065,1
18,undirected,4145,1
18,undirected,4273,1
18,undirected,4692,1
18,undirected,4799,1
18,undirected,5363,1
19,undirected,879,1
19,undirected,4931,1
19,undirected,5118,1
19,undirected,5431,1
20,undirected,285,1
20,undirected,286,1
20,undirected,405,1
20,undirected,1119,1
20,undirected,1302,1
20,undirected,3035,1
20,undirected,3065,1
20,undirected,3828,1
20,undirected,4477,1
20,undirected,5146,1
20,undirected,5256,1
20,undirected,5402,1
21,undirected,2126,1
21,undirected,2761,1
21,undirected,5431,1
22,undirected,2784,1
22,undirected,3097,1
22,undirected,4799,1
24,undirected,1845,1
25,undirected,579,1
25,undirected,1245,1
25,undirected,1722,1
26,undirected,3583,2
27,undirected,2030,1
27,undirected,3636,1
27,undirected,4238,2
28,undirected,283,6
28,undirected,826,2
28,undirected,1375,3
28,undirected,1393,1
28,undirected,1846,6
28,undirected,1854,2
28,undirected,1901,2
28,undirected,2112,3
28,undirected,2198,2
28,undirected,2211,1
28,undirected,2527,1
28,undirected,2607,1
28,undirected,2638,3
28,undirected,2692,1
28,undirected,2817,4
28,undirected,3234,1
28,undirected,3315,1
28,undirected,3494,2
28,undirected,3625,10
28,undirected,4204,1
28,undirected,4332,2
28,undirected,4386,2
28,undirected,4454,3
28,undirected,4489,2
28,undirected,4491,3
28,undirected,4555,6
28,undirected,4623,5
28,undirected,4720,4
28,undirected,4746,1
28,undirected,4868,1
28,undirected,4879,1
28,undirected,5138,1
28,undirected,5545,6
29,undirected,858,1
29,undirected,2627,1
29,undirected,3182,1
29,undirected,3734,1
29,undirected,4380,2
29,undirected,4416,1
30,undirected,548,1
30,undirected,1230,1
30,undirected,5488,1
31,undirected,862,1
31,undirected,1929,1
31,undirected,4644,1
31,undirected,4678,1
31,undirected,5055,1
32,undirected,2916,1
32,undirected,3957,1
32,undirected,4988,1
33,undirected,163,3
33,undirected,4931,1
33,undirected,5227,2
33,undirected,5431,3
34,undirected,776,1
34,undirected,1979,1
34,undirected,4799,1
34,undirected,5431,1
35,undirected,2169,1
36,undirected,639,4
36,undirected,3202,4
36,undirected,4795,4
37,undirected,3254,2
37,undirected,4210,2
37,undirected,5063,2
37,undirected,5482,2
38,undirected,934,3
38,undirected,1436,1
38,undirected,1455,2
38,undirected,1855,2
38,undirected,2363,1
38,undirected,3813,1
38,undirected,4765,1
38,undirected,5130,1
39,undirected,1492,2
39,undirected,2011,2
39,undirected,2337,2
39,undirected,2754,2
39,undirected,3007,2
39,undirected,4216,2
39,undirected,4433,2
39,undirected,4806,2
39,undirected,4813,2
39,undirected,5103,2
40,undirected,4375,4
41,undirected,3301,1
42,undirected,1392,1
42,undirected,1505,1
42,undirected,1802,1
43,undirected,95,1
43,undirected,972,1
43,undirected,1546,7
43,undirected,3909,1
43,undirected,4799,1
43,undirected,5131,1
43,undirected,5431,6
44,undirected,1506,1
44,undirected,2394,1
44,undirected,2820,1
44,undirected,4275,1
44,undirected,5431,1
45,undirected,478,1
45,undirected,1112,1
45,undirected,1173,1
45,undirected,1965,1
45,undirected,2612,1
45,undirected,2843,1
45,undirected,3351,1
45,undirected,3451,1
45,undirected,4677,1
45,undirected,4875,1
46,undirected,1906,1
46,undirected,2067,1
46,undirected,2125,2
46,undirected,2842,2
46,undirected,2971,1
46,undirected,3211,1
46,undirected,5431,2
47,undirected,2574,1
47,undirected,2934,1
47,undirected,4155,1
48,undirected,170,1
48,undirected,795,1
48,undirected,1578,1
48,undirected,2871,1
48,undirected,5431,1
49,undirected,50,1
49,undirected,1209,1
49,undirected,1917,1
49,undirected,2598,1
49,undirected,2891,1
49,undirected,3306,1
49,undirected,4157,1
49,undirected,4218,1
49,undirected,4688,1
49,undirected,5064,1
49,undirected,5293,1
50,undirected,937,2
50,undirected,1209,4
50,undirected,1914,2
50,undirected,1917,4
50,undirected,2535,1
50,undirected,2732,1
50,undirected,2777,1
50,undirected,3390,2
50,undirected,3428,1
50,undirected,3593,1
50,undirected,4012,1
50,undirected,4218,2
50,undirected,4254,1
50,undirected,4586,1
50,undirected,4599,2
50,undirected,4691,1
50,undirected,5293,1
50,undirected,5396,1
51,undirected,389,1
51,undirected,831,1
51,undirected,1432,2
51,undirected,1922,2
51,undirected,2587,1
51,undirected,3418,1
52,undirected,170,1
52,undirected,3228,1
52,undirected,5431,1
53,undirected,1731,2
