,journal_number,journal_name,journal_name_in_foreign_language_1,journal_name_in_foreign_language_2,journal_name_in_foreign_language_3,scopus_sources,SNIP,CiteScore,SJR,quartile_in_caterory,IF,AIF,quartile_in_caterory_2,if_info_years,InCites_JCR,final_index
0,10,Verslas: teorija ir praktika,,,,2009,0.455,,0.38,,,,,,,1298.0
1,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
2,,Vandens ūkio inžinerija,,,,,,,,,,,,,,1295.0
3,,Socialinių mokslų studijos,Social sciences studies: mokslo darbai,,,,,,,,,,,,,430.0
4,11,Verslas: teorija ir praktika,Business: theory and practice,,,2010,0.63,,0.36,,,,,,,1298.0
5,15,Nonlinear analysis: modelling and control,,,,2010,0.491,,0.19,,0.4,1.287,Q4,2010,SCIE,1074.0
6,,Socialinių mokslų studijos,Social sciences studies: mokslo darbai,,,,,,,,,,,,,430.0
7,51,Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai,,,,,,,,,,,,,,318.0
8,51,Lietuvos matematikos rinkinys. Lietuvos matematikų draugijos darbai,,,,,,,,,,,,,,318.0
9,,Visuomenės saugumas ir viešoji tvarka (4): mokslinių straipsnių rinkinys,Security of Society and public Order: Proceedings of scientific articles (4),,,,,,,,,,,,,456.0
10,,Specialybės kalba: sakinys ir tekstas: mokslinių straipsnių rinkinys,,,,,,,,,,,,,,1212.0
11,,Vadyba: mokslo tiriamieji darbai,,,,,,,,,,,,,,1291.0
12,56,Ekologija,Ecology,,,,,,,,,,,,,663.0
13,,"Avances de la geomorfología en España, . XI reunión nacional de geomorfología Solsona,  Septiembre 2010",,,,,,,,,,,,,,552.0
14,5,International Journal of Nanomanufacturing,,,,2010,0.145,,0.11,,,,,,,783.0
15,5,International Journal of Nanomanufacturing,,,,2010,0.145,,0.11,,,,,,,783.0
16,12,Journal of Vibroengineering,,,,2010,0.341,,0.24,,0.323,1.847,Q4,2010,SCIE,272.0
17,12,Journal of Vibroengineering,,,,2010,0.341,,0.24,,0.323,1.847,Q4,2010,SCIE,272.0
18,,Economics and management,Ekonomika ir vadyba,,,,,,,,,,,,,36.0
19,16,Ūkio technologinis ir ekonominis vystymas,Technological and economic development of economy,Die Technologische und Wirtschaftliche Entwiklung der Volkswirtschaft,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,1350.0
20,4,Trends economics and management,Trendy ekonomiky a managementu,,,,,,,,,,,,,1280.0
21,21,Filosofija. Sociologija,ciology,,,2010,0.0,,0.34,,0.179,0.923,Q4,2010,SSCI,191.0
22,,dyba ir studijos 2009: mokslo darbai,nagement and education 2009: research papers,,,,,,,,,,,,,465.0
23,4,International Journal of Mechanics,,,,2010,0.0,,0.1,,,,,,,229.0
24,16,Journal of Civil Engineering and Management,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
25,10,Steel and Composite Structures,,,,2010,0.8,,0.85,,0.532,1.313,Q3,2010,SCIE,101.0
26,16,Materials science,Medžiagotyra,,,2010,0.257,,0.24,,0.409,2.795,Q4,2010,SCIE,23.0
27,51,Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai,,,,,,,,,,,,,,318.0
28,,Економічний вісник Донбасу: науковий журнал,Economical herald of Donbas quaterly: scientific journal,,,,,,,,,,,,,1370.0
29,,Urbanistika ir architektūra,Town planning and architecture,,,2010,0.748,,0.11,,,,,,,1290.0
30,,Energia i šrodowisko w technologiach larskich i ogniotrwalych,,,,,,,,,,,,,,675.0
31,,Aplinka: linka,,,,,,,,,,,,,,526.0
32,9,Informatics in education,,,,2010,0.271,,0.14,,,,,,,216.0
33,55,Computers & Education,,,,2010,2.511,,1.66,,2.617,0.906,Q1,2010,SSCI,111.0
34,41,Advances in Engineering Software,,,,2010,1.47,,0.59,,1.004,1.394,Q3,2010,SCIE,29.0
35,,Gedimino universitetas,,,,,,,,,,,,,,711.0
36,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
37,,Twenty-first-century Central and Eastern European writers,,,,,,,,,,,,,,130.0
38,14,Mechanics of Time-Dependent Materials,,,,2010,1.696,,0.85,,0.955,1.14,Q1,2010,SCIE,351.0
39,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
40,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
41,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
42,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
43,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
44,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
45,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
46,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
47,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
48,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
49,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
50,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
51,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
52,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
53,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
54,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
55,,Dictionary of literary biography. Vol. 353: Twenty-first-century Central and Eastern European writers,,,,,,,,,,,,,,130.0
56,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
57,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
58,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
59,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
60,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Elektronika ir elektrotechnika,,,,,,,,,,,,,0.0
61,15,Mathematical modelling and analysis: the Baltic journal merical analysis and differential equations,,,,2010,0.584,,0.33,,0.685,0.735,Q2,2010,SCIE,345.0
62,15,Mathematical modelling and analysis: the Baltic journal merical analysis and differential equations,,,,2010,0.584,,0.33,,0.685,0.735,Q2,2010,SCIE,345.0
63,,Eksploatacja i Niezawodnosc – Maintenance and Reliability,,,,2010,0.143,,0.24,,0.319,0.998,Q3,2010,SCIE,157.0
64,392,Biochemical and Biophysical Research Communications,,,,2010,0.769,,1.36,,2.595,3.818,Q3,2010,SCIE,77.0
65,12,Granular matter,,,,2010,1.447,,0.9,,1.22,2.264,Q2,2010,SCIE,728.0
66,,Mokslas ir technika: Lietuvos MA ir Lietuvos inžinierių sąjungos mėnesinis žurnalas,,,,,,,,,,,,,,1040.0
67,51,Siberian mathematical journal,,,,2010,0.716,,0.45,,0.388,0.735,Q4,2010,SCIE,1197.0
68,16,Technological and economic development of economy: Baltic journal on sustainability,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
69,16,Technological and economic development of economy: Baltic journal on sustainability,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
70,16,Technological and economic development of economy: Baltic journal on sustainability,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
71,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
72,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
73,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
74,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
75,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
76,,Gedimino universitetas,,,,,,,,,,,,,,711.0
77,,Gedimino universitetas,,,,,,,,,,,,,,711.0
78,,Gedimino universitetas,,,,,,,,,,,,,,711.0
79,,Gedimino universitetas,,,,,,,,,,,,,,711.0
80,,Gedimino universitetas,,,,,,,,,,,,,,711.0
81,,Gedimino universitetas,,,,,,,,,,,,,,711.0
82,,Gedimino universitetas,,,,,,,,,,,,,,711.0
83,,Mokslas ir technika: Lietuvos MA ir Lietuvos inžinierių sąjungos mėnesinis žurnalas,,,,,,,,,,,,,,1040.0
84,39,Information Technology and Control,,,,2010,0.332,,0.61,,0.638,1.565,Q3,2010,SCIE,218.0
85,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
86,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
87,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
88,,Inžinerinė ekonomika,Engineering economics,,,2010,0.857,,1.0,,2.168,1.188,Q1,2010,SSCI,836.0
89,,Inžinerinė ekonomika,Engineering economics,,,2010,0.857,,1.0,,2.168,1.188,Q1,2010,SSCI,836.0
90,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
91,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
92,19,Automation in construction: an international research journal,,,,2010,1.674,,0.8,,1.311,1.239,Q1,2010,SCIE,66.0
93,19,Automation in construction: an international research journal,,,,2010,1.674,,0.8,,1.311,1.239,Q1,2010,SCIE,66.0
94,19,Automation in construction: an international research journal,,,,2010,1.674,,0.8,,1.311,1.239,Q1,2010,SCIE,66.0
95,19,Automation in construction: an international research journal,,,,2010,1.674,,0.8,,1.311,1.239,Q1,2010,SCIE,66.0
96,18,Santalka. Filosofija,,,,,,,,,,,,,,416.0
97,18,Santalka. Filosofija,,,,,,,,,,,,,,416.0
98,18,Santalka. Filosofija,,,,,,,,,,,,,,416.0
99,18,Santalka. Filosofija,,,,,,,,,,,,,,416.0
100,34,Urbanistika ir architektūra,Town planning and architecture,,,2010,0.748,,0.11,,,,,,,1290.0
101,34,Urbanistika ir architektūra,Town planning and architecture,,,2010,0.748,,0.11,,,,,,,1290.0
102,34,Urbanistika ir architektūra,Town planning and architecture,,,2010,0.748,,0.11,,,,,,,1290.0
103,34,Urbanistika ir architektūra,Town planning and architecture,,,2010,0.748,,0.11,,,,,,,1290.0
104,36,Geodezija ir kartografija,,,,,,,,,,,,,,716.0
105,36,Geodezija ir kartografija,,,,,,,,,,,,,,716.0
106,,Logos,,,,,,,,,,,,,,334.0
107,36,Geodezija ir kartografija,,,,,,,,,,,,,,716.0
108,36,Geodezija ir kartografija,,,,,,,,,,,,,,716.0
109,2,Statybinės konstrukcijos ir technologijos,Engineering structures and technologies,,,,,,,,,,,,,1214.0
110,2,Statybinės konstrukcijos ir technologijos,Engineering structures and technologies,,,,,,,,,,,,,1214.0
111,2,Statybinės konstrukcijos ir technologijos,Engineering structures and technologies,,,,,,,,,,,,,1214.0
112,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
113,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
114,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
115,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
116,126,Jaunųjų mokslininkų darbai,Journal of young scientists,,,,,,,,,,,,,255.0
117,12,Journal of vibroengineering,,,,2010,0.341,,0.24,,0.323,1.847,Q4,2010,SCIE,272.0
118,12,Journal of vibroengineering,,,,2010,0.341,,0.24,,0.323,1.847,Q4,2010,SCIE,272.0
119,12,Journal of vibroengineering,,,,2010,0.341,,0.24,,0.323,1.847,Q4,2010,SCIE,272.0
120,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
121,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
122,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
123,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
