,docs_id,doc_code,pub_year,doi,pages,publication,journal_name,volume_in_pages,dbases_count,Scopus,SCIE,ICONDA,IndexCopernicus,INSPEC,Academic_Search_Complete,DOAJ,SSCI,VINITI,Business_Source_Complete,other_dbases,res_fields_1,res_fields_2,res_fields_3,final_index
0,2879122,S1,2009,0,322-329,", &  . Strategies of self - presentacion in the business meeting and negotiation.",Verslas: teorija ir praktika,7,5,1,0,1,0,0,0,0,0,0,1,2,S 003,,,1298.0
1,2787456,S1,2010,1,207-216, . Mathematical modelling of sediment dynamics and their deposition inLithuanian rivers and their deltas (case studies).,Journal of environmental engineering and landscape management,9,4,0,0,1,1,0,0,0,0,0,0,2,T 004,,,94.0
2,2828841,S3,2010,0,41-49, ir  . Mūšos baseino upių vandens taršos fosforu analizė taikant FYRIS modelį.,Vandens ūkio inžinerija,8,2,0,0,0,0,0,0,0,0,0,0,2,T 004,,,1295.0
3,2897484,S3,2010,0,69-83,", &  . Higher school potential as a social-economic category: sence and functions.",Socialinių mokslų studijos,14,2,0,0,0,1,0,0,0,0,0,0,1,S 003,S 004,,430.0
4,2900937,S1,2010,1,222-237,  . Finansinės gyventojų elgsenos ypatumai.,Verslas: teorija ir praktika,15,4,1,0,1,0,0,0,0,0,0,1,1,S 004,,,1298.0
5,2906450,S1,2010,0,307-323,", , &  . Asymptotic solutions of the mathematical model of nonlinear oscillations of absolutely elastic inextensible weightless string.",Nonlinear analysis: modelling and control,16,4,1,1,0,1,0,0,0,0,1,0,0,N 001,,,1074.0
6,2912714,S3,2010,0,59-79, . Tvaraus pensijos portfelio sudarymas dinaminiu stochastiniu imitaciniu modeliavimu.,Socialinių mokslų studijos,20,4,0,0,0,1,0,0,0,0,0,0,3,S 005,S 004,,430.0
7,2918856,S3,2010,0,51-56,  . Apibendrintosios Hirota-Satsuma tipo sistemos asimptotinė analizė.,Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai,5,4,0,0,0,0,0,0,0,0,1,0,3,N 001,,,318.0
8,2919654,S3,2010,0,273-278,", ,   . Diagnostinio testo matematinio modelio taikymas vertinant studentų aerobinį pajėgumą.",Lietuvos matematikos rinkinys. Lietuvos matematikų draugijos darbai,5,2,0,0,0,0,0,0,0,0,0,0,2,N 001,,,318.0
9,2919955,S3,2010,0,93-111," . Tarptautinis ir regioninis saugumas: globalizacija, žiniomis grindžiamos visuomenės kūrimasis ir nauji iššūkiai.",Visuomenės saugumas ir viešoji tvarka (4): mokslinių straipsnių rinkinys,18,1,0,0,0,0,0,0,0,0,0,0,1,S 002,,,456.0
10,2920101,S5,2010,0,13-21, . Pastraipų kūrimas indukcijos ir dedukcijos aspektu.,Specialybės kalba: sakinys ir tekstas: mokslinių straipsnių rinkinys,8,0,0,0,0,0,0,0,0,0,0,0,0,H 004,,,1212.0
11,2955566,S3,2010,0,163-166,",   . Mykolo Romerio universiteto Viešojo saugumo fakulteto studentų ir Lietuvos valstybės sienos apsaugos tarnybos darbuotojų fizinio pasirengimo lyginamoji analizė.",Vadyba: mokslo tiriamieji darbai,3,2,0,0,0,1,0,0,0,0,0,0,1,S 007,,,1291.0
12,3028099,S2,2010,1,144-152,"Da Silva , , &  . Mapping total nitrogen in ash after a wildland fire: a microplot analysis.",Ekologija,8,4,0,0,0,0,0,0,0,0,1,0,3,N 012,T 004,,663.0
13,3028886,S5,2010,0,2008-2010,"Da Silva , &  . Efectos del fuego en la relación de absorción de sodio (SAR) de la solución liberada por las cenizas y sus potenciales efectos en la erosión del suelo. Estudio a escala de microparcela.","Avances de la geomorfología en España, . XI reunión nacional de geomorfología Solsona,  Septiembre 2010",2,0,0,0,0,0,0,0,0,0,0,0,0,N 012,,,552.0
14,3031487,S3,2010,1,194-204,", , , , &  . Synthesis and characterisation of porphyrin nanotubes obtained by ionic self-assembly.",International Journal of Nanomanufacturing,10,2,1,0,0,0,0,0,0,0,0,0,1,T 008,N 004,,783.0
15,3031530,S3,2010,0,205-213,", , , , &  . Porphyrin controlled anisotropic and dendritic growth of thallium chloride crystals.",International Journal of Nanomanufacturing,8,2,1,0,0,0,0,0,0,0,0,0,1,T 008,N 004,,783.0
16,3038370,S1,2010,0,26-33,"Bansevicius1,, R., , , &  . Switching leg method for trajectory planning of mobile piezorobot.",Journal of Vibroengineering,7,3,1,1,0,0,0,0,0,0,0,0,1,T 009,T 007,,272.0
17,3038649,S1,2010,0,42-49,", , , , &  . Comparison of different strategies of integration of vibrating systems.",Journal of Vibroengineering,7,5,1,1,0,0,1,1,0,0,0,0,1,T 009,,,272.0
18,3041216,S3,2010,0,295-301,", &  . The effect of real estate speculation on the growth of economics in transition countries.",Economics and management,6,3,0,0,0,0,0,0,0,0,0,1,2,S 004,,,36.0
19,3048287,S1,2010,1,233-253,", , &  . Modelling the application of workplace safety and health act in Lithuanian construction sector.",Ūkio technologinis ir ekonominis vystymas,20,7,1,0,1,0,0,0,0,1,0,1,3,T 002,S 004,S 003,1350.0
20,3063017,S5,2010,0,38-47,", &  . Seasonal trends in Lithuanian stock market.",Trends economics and management,9,0,0,0,0,0,0,0,0,0,0,0,0,S 004,,,1280.0
21,3081478,S1,2010,0,189-202, . Kūrybinis žinojimas kompleksinėse aplinkose: dijavimas ir vizualizavimas.,Filosofija. Sociologija,13,4,1,0,0,0,0,0,0,1,0,0,2,H 001,,,191.0
22,3086879,S5,2010,0,51-65,",   . Žmogiškieji ištekliai: strateginio valdymo aspektai.",dyba ir studijos 2009: mokslo darbai,14,0,0,0,0,0,0,0,0,0,0,0,0,S 004,S 003,,465.0
23,3090896,S5,2010,0,63-70,", , , , , &  . Geometry optimization of piezoceramic laser shutter.",International Journal of Mechanics,7,0,0,0,0,0,0,0,0,0,0,0,0,T 009,T 007,,229.0
24,3094451,S1,2010,1,451-461,", &  . Probability-based design of spun concrete beam-columns.",Journal of Civil Engineering and Management,10,12,1,1,1,0,1,1,0,0,1,0,6,T 002,,,258.0
25,3094533,S1,2010,1,109-128,", &  . Tubular composite beam-columns of annular cross -sections and their design practice.",Steel and Composite Structures,19,2,1,1,0,0,0,0,0,0,0,0,0,T 002,,,101.0
26,3098571,S1,2010,0,365-372,", , &  . Finely ground quartz sand and plasticizing admixtures influence on rheological properties of portland cement paste.",Materials science,7,3,1,1,0,0,1,0,0,0,0,0,0,T 008,,,23.0
27,3104078,S5,2010,0,319-324,  . Matematikos mokymosi objektų daugkartinio panaudojamumo kokybės vertinimas eQNet projekte.,Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai,5,0,0,0,0,0,0,0,0,0,0,0,0,N 001,N 009,T 007,318.0
28,3108582,S5,2010,0,89-96,", &  . The effect of real estate speculation on the growth of economics in Lithuania.",Економічний вісник Донбасу: науковий журнал,7,0,0,0,0,0,0,0,0,0,0,0,0,S 003,,,1370.0
29,3155605,S3,2010,1,151-160, . Iracionalumo apraiškos xx a. užsienio ir Lietuvos architektūroje.,Urbanistika ir architektūra,9,5,1,0,1,0,0,0,0,0,0,0,3,H 003,,,1290.0
30,3165522,S5,2010,0,312-318,", , , &  . Hydration of portland cement paste with addition of low quantity of hydrosodalite.",Energia i šrodowisko w technologiach larskich i ogniotrwalych,6,0,0,0,0,0,0,0,0,0,0,0,0,T 002,T 008,,675.0
