docs_id,doc_code,projection_apa,res_fields,dbases,if_info,scopus_info,pub_year
2879122,S1,"Mažeikienė, A., & Peleckis, K. (2009). Strategies of self - presentacion in the business meeting and negotiation. <i><i>Verslas: teorija ir praktika</i></i>, <i>10</i>(4), 322-329.",S 003,Scopus; TOC Premier; Current Abstracts; Business Source Complete; ICONDA,,"SNIP: 0,455, SJR: 0,381 (2009, Scopus Sources)",2009
2787456,S1,"Vaikasas, S. (2010). Mathematical modelling of sediment dynamics and their deposition inLithuanian rivers and their deltas (case studies). <i><i>Journal of environmental engineering and landscape management</i></i>, <i>18</i>(3), 207-216. doi:<a target=""_blank"" href=""https://doi.org/10.3846/jeelm.2010.24"">10.3846/jeelm.2010.24</a>",T 004,Citation Index Expanded (Web of Science); IndexCopernicus; Compendex; ICONDA,"IF: 1,333, AIF: 2,496, Q3 (2010, InCites JCR SCIE)","SNIP: 1,062, SJR: 0,441 (2010, Scopus Sources)",2010
2828841,S3,"Ruminaitė, R. ir Šileika, A. S. (2010). Mūšos baseino upių vandens taršos fosforu analizė taikant FYRIS modelį. <i><i>Vandens ūkio inžinerija</i></i>, 36, 41-49.",T 004,CAB Abstracts; CAB International,,,2010
2897484,S3,"Peleckis, K., & Mažeikienė, A. (2010). Higher school potential as a social-economic category: conception, essence and functions. <i><i>Socialinių mokslų studijos = Social sciences studies: mokslo darbai</i></i>, 2, 69-83. Retrieved 2009, September 17, from <a target=""_blank"" href=""http://www.mruni.eu/lt/mokslo_darbai/sms/archyvas/?l=90287"">http://www.mruni.eu/lt/mokslo_darbai/sms/archyvas/?l=90287</a>",S 003; S 004,IndexCopernicus; SocINDEX with Full Text,,,2010
2900937,S1,"Jurevičienė, D. ir Gausienė, E. (2010). Finansinės gyventojų elgsenos ypatumai. <i><i>Verslas: teorija ir praktika = Business: theory and practice</i></i>, <i>11</i>(3), 222-237. doi:<a target=""_blank"" href=""https://doi.org/10.3846/btp.2010.25"">10.3846/btp.2010.25</a>",S 004,Central & Eastern European Academic Source (CEEAS); Scopus; Business Source Complete; ICONDA,,"SNIP: 0,630, SJR: 0,368 (2010, Scopus Sources)",2010
2906450,S1,"Krylovas, A., Lavcel-Budko, O., & Miškinis, P. (2010). Asymptotic solutions of the mathematical model of nonlinear oscillations of absolutely elastic inextensible weightless string. <i><i>Nonlinear analysis: modelling and control</i></i>, <i>15</i>(3), 307-323. Retrieved 2010, October 13, from <a target=""_blank"" href=""http://www.lana.lt/journal/38/Krylovas.pdf"">http://www.lana.lt/journal/38/Krylovas.pdf</a>",N 001,VINITI; Scopus; IndexCopernicus; Science Citation Index Expanded (Web of Science),"IF: 0,400, AIF: 1,287, Q4 (2010, InCites JCR SCIE)","SNIP: 0,491, SJR: 0,196 (2010, Scopus Sources)",2010
2912714,S3,"Klimavičienė, A. (2010). Tvaraus pensijos portfelio sudarymas dinaminiu stochastiniu imitaciniu modeliavimu. <i><i>Socialinių mokslų studijos = Social sciences studies: mokslo darbai</i></i>, 3, 59-79. Žiūrėta 2010 m. lapkričio 11 d. per <a target=""_blank"" href=""http://www.mruni.eu/lt/mokslo_darbai/sms/archyvas/?l=92453"">http://www.mruni.eu/lt/mokslo_darbai/sms/archyvas/?l=92453</a>",S 005; S 004,TOC Premier; SocINDEXsoc; IndexCopernicus; SocINDEX with Full Text,,,2010
2918856,S3,"Kriauzienė, R. ir Krylovas, A. (2010). Apibendrintosios Hirota-Satsuma tipo sistemos asimptotinė analizė. <i><i>Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai</i></i>, <i>51</i>, 51-56. Žiūrėta 2010 m. gruodžio 07 d. per <a target=""_blank"" href=""ftp://ftp.science.mii.lt/pub/publications/51_TOMAS(2010)/Differencialiniu_Lygciu_ir_Funkciju_Teorijos_sekcija(51-62).pdf"">ftp://ftp.science.mii.lt/pub/publications/51_TOMAS(2010)/Differencialiniu_Lygciu_ir_Funkciju_Teorijos_sekcija(51-62).pdf</a>",N 001,MathSciNet; Zentralblatt MATH (zbMATH); VINITI; CIS,,,2010
2919654,S3,"Kosareva, N., Krylovas, A., Tamošauskas, P. ir Dadelo, S. (2010). Diagnostinio testo matematinio modelio taikymas vertinant studentų aerobinį pajėgumą. <i><i>Lietuvos matematikos rinkinys. Lietuvos matematikų draugijos darbai</i></i>, <i>51</i>, 273-278. Žiūrėta 2010 m. gruodžio 07 d. per <a target=""_blank"" href=""ftp://ftp.science.mii.lt/pub/publications/51_TOMAS(2010)/Matematikos_Taikymu_II_sekcija(250-335).pdf"">ftp://ftp.science.mii.lt/pub/publications/51_TOMAS(2010)/Matematikos_Taikymu_II_sekcija(250-335).pdf</a>",N 001,MathSciNet; CIS,,,2010
2919955,S3,"Melnikas, B. (2010). Tarptautinis ir regioninis saugumas: globalizacija, žiniomis grindžiamos visuomenės kūrimasis ir nauji iššūkiai. <i><i>Visuomenės saugumas ir viešoji tvarka (4): mokslinių straipsnių rinkinys = Security of Society and public Order: Proceedings of scientific articles (4) [Elektroninis išteklius]</i></i>, 4, 93-111. Žiūrėta 2010 m. gruodžio 10 d. per <a target=""_blank"" href=""https://repository.mruni.eu/handle/007/14804"">https://repository.mruni.eu/handle/007/14804</a>",S 002,CEPOL Research and Science Database,,,2010
